Title,Average_Rating,Director,Number_reviews,Release_Date,Actor1,Actor2,Genre1,Genre2
The Shining,4.25,Stanley Kubrick,148318,1980,Jack Nicholson,Shelley Duvall,Horror,Thriller
Oldboy,4.39,Park Chan-wook,118181,2003,Choi Min-sik,Yoo Ji-tae,Thriller,Mystery
Memento,4.17,Christopher Nolan,92831,2000,Guy Pearce,Carrie-Anne Moss,Mystery,Thriller
Raiders of the Lost Ark,4.16,Steven Spielberg,79049,1981,Harrison Ford,Karen Allen,Adventure,Action
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,4.31,Stanley Kubrick,47609,1964,Peter Sellers,George C. Scott,Comedy,War
American Beauty,3.96,Sam Mendes,56914,1999,Kevin Spacey,Annette Bening,Drama,
WALL·E,4.19,Andrew Stanton,59318,2008,Ben Burtt,Elissa Knight,Animation,Science Fiction
Aliens,4.15,James Cameron,52502,1986,Sigourney Weaver,Michael Biehn,Science Fiction,Horror
Braveheart,3.86,Mel Gibson,14319,1995,Mel Gibson,Catherine McCormack,History,Action
Sunset Boulevard,4.44,Billy Wilder,33333,1950,William Holden,Gloria Swanson,Drama,
Amadeus,4.32,Miloš Forman,29564,1984,F. Murray Abraham,Tom Hulce,History,Drama
The Intouchables,4.11,Éric Toledano,17474,2011,François Cluzet,Omar Sy,Drama,Comedy
The Great Dictator,4.31,Charlie Chaplin,11198,1940,Charlie Chaplin,Paulette Goddard,War,Comedy
The Lives of Others,4.27,Florian Henckel von Donnersmarck,8010,2006,Martina Gedeck,Ulrich Mühe,Drama,Thriller
Paths of Glory,4.45,Stanley Kubrick,26122,1957,Kirk Douglas,Ralph Meeker,War,History
Spider-Man: Into the Spider-Verse,4.43,Rodney Rothman,264203,2018,Shameik Moore,Jake Johnson,Adventure,Animation
Django Unchained,4.26,Quentin Tarantino,98390,2012,Jamie Foxx,Christoph Waltz,Drama,Western
2001: A Space Odyssey,4.3,Stanley Kubrick,117810,1968,Keir Dullea,Gary Lockwood,Adventure,Mystery
Das Boot,4.27,Wolfgang Petersen,5596,1981,Jürgen Prochnow,Herbert Grönemeyer,Drama,War
A Clockwork Orange,4.13,Stanley Kubrick,77287,1971,Malcolm McDowell,Patrick Magee,Science Fiction,Crime
Come and See,4.64,Elem Klimov,53641,1985,Aleksei Kravchenko,Olga Mironova,War,Drama
Vertigo,4.24,Alfred Hitchcock,56690,1958,James Stewart,Kim Novak,Romance,Thriller
Lawrence of Arabia,4.35,David Lean,22641,1962,Peter O'Toole,Alec Guinness,Adventure,War
Citizen Kane,4.21,Orson Welles,58759,1941,Orson Welles,Joseph Cotten,Drama,Mystery
Coco,4.12,Lee Unkrich,92914,2017,Anthony Gonzalez,Gael García Bernal,Adventure,Animation
Joker,3.84,Todd Phillips,205821,2019,Joaquin Phoenix,Robert De Niro,Crime,Drama
Eternal Sunshine of the Spotless Mind,4.24,Michel Gondry,182339,2004,Jim Carrey,Kate Winslet,Science Fiction,Romance
Amélie,4.16,Jean-Pierre Jeunet,66451,2001,Audrey Tautou,Mathieu Kassovitz,Romance,Comedy
Reservoir Dogs,4.15,Quentin Tarantino,78513,1992,Harvey Keitel,Tim Roth,Crime,Thriller
Metropolis,4.26,Fritz Lang,19638,1927,Gustav Fröhlich,Brigitte Helm,Drama,Science Fiction
The Dark Knight Rises,3.73,Christopher Nolan,70761,2012,Christian Bale,Michael Caine,Thriller,Drama
Singin' in the Rain,4.32,Stanley Donen,59454,1952,Gene Kelly,Donald O'Connor,Romance,Comedy
North by Northwest,4.19,Alfred Hitchcock,26672,1959,Cary Grant,Eva Marie Saint,Mystery,Adventure
Heat,4.27,Michael Mann,87226,1995,Al Pacino,Robert De Niro,Crime,Action
Inglourious Basterds,4.34,Quentin Tarantino,126674,2009,Brad Pitt,Mélanie Laurent,Drama,Thriller
Scarface,4.11,Brian De Palma,64068,1983,Al Pacino,Steven Bauer,Drama,Crime
M,4.32,Fritz Lang,19705,1931,Peter Lorre,Ellen Widmann,Thriller,Drama
Toy Story,4.13,John Lasseter,42761,1995,Tom Hanks,Tim Allen,Comedy,Animation
Requiem for a Dream,4.1,Darren Aronofsky,98824,2000,Ellen Burstyn,Jared Leto,Drama,Crime
Return of the Jedi,4.03,Richard Marquand,70333,1983,Mark Hamill,Harrison Ford,Action,Science Fiction
Double Indemnity,4.26,Billy Wilder,23125,1944,Fred MacMurray,Barbara Stanwyck,Crime,Thriller
The Apartment,4.43,Billy Wilder,34855,1960,Jack Lemmon,Shirley MacLaine,Drama,Romance
Full Metal Jacket,4.2,Stanley Kubrick,48568,1987,Matthew Modine,Adam Baldwin,Drama,War
Princess Mononoke,4.37,Hayao Miyazaki,86014,1997,Youji Matsuda,Yuriko Ishida,Adventure,Fantasy
Once Upon a Time in America,4.21,Sergio Leone,17348,1984,Robert De Niro,James Woods,Crime,Drama
Bicycle Thieves,4.31,Vittorio De Sica,24812,1948,Lamberto Maggiorani,Enzo Staiola,Drama,
Witness for the Prosecution,4.33,Billy Wilder,9480,1957,Tyrone Power,Marlene Dietrich,Mystery,Crime
Up,4.09,Pete Docter,44215,2009,Ed Asner,Christopher Plummer,Animation,Adventure
To Kill a Mockingbird,4.08,Robert Mulligan,10098,1962,Gregory Peck,Mary Badham,Drama,
Toy Story 3,3.99,Lee Unkrich,34422,2010,Tom Hanks,Tim Allen,Comedy,Animation
Your Name.,4.21,Makoto Shinkai,74200,2016,Ryunosuke Kamiki,Mone Kamishiraishi,Romance,Animation
The Sting,4.17,George Roy Hill,14777,1973,Paul Newman,Robert Redford,Drama,Comedy
Avengers: Infinity War,3.95,Anthony Russo,111468,2018,Robert Downey Jr.,Chris Hemsworth,Action,Science Fiction
Ikiru,4.51,Akira Kurosawa,18529,1952,Takashi Shimura,Haruo Tanaka,Drama,
Good Will Hunting,4.29,Gus Van Sant,106422,1997,Matt Damon,Robin Williams,Drama,
Avengers: Endgame,3.86,Anthony Russo,131698,2019,Robert Downey Jr.,Chris Evans,Science Fiction,Action
Le Trou,4.43,Jacques Becker,3753,1960,Michel Constantin,Jean Keraudy,Drama,Crime
A Separation,4.36,Asghar Farhadi,11580,2011,Payman Maadi,Sare Bayat,Drama,
Taxi Driver,4.17,Martin Scorsese,132149,1976,Robert De Niro,Jodie Foster,Drama,Crime
Pan's Labyrinth,4.17,Guillermo del Toro,43658,2006,Ivana Baquero,Sergi López,War,Fantasy
Gone with the Wind,3.84,Victor Fleming,16350,1939,Vivien Leigh,Clark Gable,Romance,Drama
Some Like It Hot,4.24,Billy Wilder,28375,1959,Tony Curtis,Jack Lemmon,Romance,Crime
Jurassic Park,4.11,Steven Spielberg,84947,1993,Sam Neill,Laura Dern,Science Fiction,Adventure
No Country for Old Men,4.33,Joel Coen,93316,2007,Tommy Lee Jones,Javier Bardem,Crime,Thriller
Chinatown,4.29,Roman Polanski,37957,1974,Jack Nicholson,Faye Dunaway,Thriller,Mystery
Raging Bull,4.25,Martin Scorsese,44750,1980,Robert De Niro,Cathy Moriarty,Drama,
L.A. Confidential,4.07,Curtis Hanson,25256,1997,Russell Crowe,Guy Pearce,Mystery,Crime
The Kid,4.2,Charlie Chaplin,11055,1921,Charlie Chaplin,Jackie Coogan,Drama,Comedy
Die Hard,4.07,John McTiernan,87045,1988,Bruce Willis,Alan Rickman,Thriller,Action
There Will Be Blood,4.45,Paul Thomas Anderson,92450,2007,Daniel Day-Lewis,Paul Dano,Drama,
Monty Python and the Holy Grail,4.13,Terry Gilliam,38991,1975,Graham Chapman,John Cleese,Fantasy,Comedy
Kill Bill: Vol. 1,4.18,Quentin Tarantino,109433,2003,Uma Thurman,Lucy Liu,Crime,Action
The Bridge on the River Kwai,4.22,David Lean,7995,1957,William Holden,Alec Guinness,War,History
The Sixth Sense,4.02,M. Night Shyamalan,41864,1999,Bruce Willis,Haley Joel Osment,Thriller,Mystery
Unforgiven,4.2,Clint Eastwood,18644,1992,Clint Eastwood,Gene Hackman,Western,
The Thing,4.35,John Carpenter,111799,1982,Kurt Russell,Keith David,Mystery,Science Fiction
Finding Nemo,4.04,Andrew Stanton,34120,2003,Albert Brooks,Ellen DeGeneres,Animation,Family
Indiana Jones and the Last Crusade,4.09,Steven Spielberg,49708,1989,Harrison Ford,Sean Connery,Adventure,Action
Howl's Moving Castle,4.32,Hayao Miyazaki,139017,2004,Chieko Baisho,Takuya Kimura,Fantasy,Adventure
All About Eve,4.33,Joseph L. Mankiewicz,13863,1950,Bette Davis,Anne Baxter,Drama,
The Truman Show,4.21,Peter Weir,149597,1998,Jim Carrey,Laura Linney,Comedy,Drama
The Hunt,4.29,Thomas Vinterberg,38095,2012,Mads Mikkelsen,Thomas Bo Larsen,Drama,
The Wolf of Wall Street,4,Martin Scorsese,139635,2013,Leonardo DiCaprio,Jonah Hill,Comedy,Drama
Batman Begins,3.79,Christopher Nolan,79449,2005,Christian Bale,Liam Neeson,Crime,Action
The Treasure of the Sierra Madre,4.28,John Huston,8365,1948,Humphrey Bogart,Walter Huston,Drama,Western
Ran,4.5,Akira Kurosawa,20663,1985,Tatsuya Nakadai,Akira Terao,Drama,History
The Elephant Man,4.23,David Lynch,23078,1980,Anthony Hopkins,John Hurt,History,Drama
The Great Escape,4.13,John Sturges,8195,1963,Steve McQueen,James Garner,History,Drama
Downfall,4.1,Oliver Hirschbiegel,6025,2004,Bruno Ganz,Alexandra Maria Lara,War,Drama
V for Vendetta,3.84,James McTeigue,35982,2005,Natalie Portman,Hugo Weaving,Thriller,Science Fiction
Snatch,4.01,Guy Ritchie,35580,2000,Jason Statham,Alan Ford,Comedy,Crime
Shutter Island,4.1,Martin Scorsese,113140,2010,Leonardo DiCaprio,Mark Ruffalo,Mystery,Drama
Casino,4.19,Martin Scorsese,42492,1995,Robert De Niro,Sharon Stone,Crime,Drama
Incendies,4.4,Denis Villeneuve,31737,2010,Lubna Azabal,Mélissa Désormeaux-Poulin,Mystery,War
A Beautiful Mind,3.82,Ron Howard,16839,2001,Russell Crowe,Jennifer Connelly,Drama,Romance
The Passion of Joan of Arc,4.43,Carl Theodor Dreyer,18575,1928,Maria Falconetti,Eugène Silvain,History,Drama
The Wages of Fear,4.31,Henri-Georges Clouzot,6036,1953,Yves Montand,Charles Vanel,Adventure,Thriller
Blade Runner,4.1,Ridley Scott,94972,1982,Harrison Ford,Rutger Hauer,Thriller,Drama
The Best of Youth,4.27,Marco Tullio Giordana,1316,2003,Luigi Lo Cascio,Alessio Boni,History,Drama
The Big Lebowski,4.14,Joel Coen,82031,1998,Jeff Bridges,John Goodman,Crime,Comedy
The Wizard of Oz,3.96,Victor Fleming,33929,1939,Judy Garland,Ray Bolger,Adventure,Family
For a Few Dollars More,4.19,Sergio Leone,13908,1965,Clint Eastwood,Lee Van Cleef,Western,
Jaws,3.97,Steven Spielberg,86841,1975,Roy Scheider,Robert Shaw,Adventure,Thriller
Sansho the Bailiff,4.38,Kenji Mizoguchi,3956,1954,Kinuyo Tanaka,Yoshiaki Hanayagi,Drama,
Fargo,4.22,Joel Coen,89228,1996,Frances McDormand,William H. Macy,Crime,Drama
Groundhog Day,3.84,Harold Ramis,42829,1993,Bill Murray,Andie MacDowell,Comedy,Drama
Apur Sansar,4.32,Satyajit Ray,3191,1959,Soumitra Chatterjee,Sharmila Tagore,Drama,
The Secret in Their Eyes,4.17,Juan José Campanella,9246,2009,Ricardo Darín,Soledad Villamil,Thriller,Drama
The Exorcist,3.99,William Friedkin,79538,1973,Jason Miller,Ellen Burstyn,Thriller,Drama
The Deer Hunter,4.18,Michael Cimino,18737,1978,Robert De Niro,Christopher Walken,War,Drama
Mad Max: Fury Road,4.17,George Miller,102331,2015,Tom Hardy,Charlize Theron,Adventure,Science Fiction
The Terminator,3.89,James Cameron,40850,1984,Linda Hamilton,Michael Biehn,Thriller,Action
The Sound of Music,4.09,Robert Wise,29844,1965,Julie Andrews,Christopher Plummer,Drama,Romance
The Third Man,4.27,Carol Reed,18234,1949,Joseph Cotten,Alida Valli,Mystery,Thriller
"Lock, Stock and Two Smoking Barrels",3.95,Guy Ritchie,14579,1998,Jason Flemyng,Dexter Fletcher,Comedy,Crime
The Human Condition III: A Soldier's Prayer,4.55,Masaki Kobayashi,2982,1961,Tatsuya Nakadai,Michiyo Aratama,History,Drama
Rocky,4.07,John G. Avildsen,44824,1976,Sylvester Stallone,Talia Shire,Drama,
Children of Paradise,4.24,Marcel Carné,2234,1945,Arletty,Jean-Louis Barrault,Drama,Romance
My Neighbor Totoro,4.19,Hayao Miyazaki,100265,1988,Noriko Hidaka,Chika Sakamoto,Fantasy,Animation
Barry Lyndon,4.39,Stanley Kubrick,36118,1975,Ryan O'Neal,Marisa Berenson,Drama,Romance
12 Years a Slave,4.14,Steve McQueen,21076,2013,Chiwetel Ejiofor,Michael Fassbender,History,Drama
Trainspotting,4.19,Danny Boyle,72644,1996,Ewan McGregor,Ewen Bremner,Drama,Crime
Platoon,3.96,Oliver Stone,17195,1986,Charlie Sheen,Willem Dafoe,War,Action
1917,4.1,Sam Mendes,111670,2019,George MacKay,Dean-Charles Chapman,Drama,War
The Grand Budapest Hotel,4.25,Wes Anderson,179445,2014,Ralph Fiennes,F. Murray Abraham,Drama,Comedy
The Seventh Seal,4.34,Ingmar Bergman,33812,1957,Max von Sydow,Bengt Ekerot,Fantasy,Drama
On the Waterfront,4.18,Elia Kazan,11929,1954,Marlon Brando,Karl Malden,Romance,Drama
Dial M for Murder,4.11,Alfred Hitchcock,16323,1954,Ray Milland,Grace Kelly,Crime,Thriller
Ratatouille,4.2,Brad Bird,106240,2007,Patton Oswalt,Lou Romano,Animation,Family
Stalker,4.43,Andrei Tarkovsky,39706,1979,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn,Drama,Science Fiction
Pirates of the Caribbean: The Curse of the Black Pearl,3.9,Gore Verbinski,56059,2003,Johnny Depp,Orlando Bloom,Fantasy,Adventure
"Sherlock, Jr.",4.36,Buster Keaton,16939,1924,Buster Keaton,Kathryn McGuire,Action,Comedy
To Be or Not to Be,4.29,Ernst Lubitsch,7447,1942,Carole Lombard,Jack Benny,Comedy,War
Ben-Hur,4.01,William Wyler,7478,1959,Charlton Heston,Stephen Boyd,Drama,History
In the Mood for Love,4.4,Wong Kar-wai,101321,2000,Tony Leung Chiu-wai,Maggie Cheung,Drama,Romance
Judgment at Nuremberg,4.23,Stanley Kramer,3159,1961,Spencer Tracy,Burt Lancaster,Drama,War
Rebecca,4.12,Alfred Hitchcock,14534,1940,Laurence Olivier,Joan Fontaine,Mystery,Drama
The 400 Blows,4.32,François Truffaut,24871,1959,Jean-Pierre Léaud,Claire Maurier,Drama,
"Monsters, Inc.",4.07,Pete Docter,41974,2001,John Goodman,Billy Crystal,Comedy,Animation
Inside Out,3.82,Pete Docter,62402,2015,Amy Poehler,Phyllis Smith,Comedy,Family
Amores Perros,4.15,Alejandro González Iñárritu,14968,2000,Gael García Bernal,Vanessa Bauche,Thriller,Drama
It Happened One Night,4.13,Frank Capra,14147,1934,Clark Gable,Claudette Colbert,Comedy,Romance
Persona,4.41,Ingmar Bergman,48922,1966,Bibi Andersson,Liv Ullmann,Drama,
Green Book,3.69,Peter Farrelly,42489,2018,Viggo Mortensen,Mahershala Ali,Drama,History
How to Train Your Dragon,4,Chris Sanders,49716,2010,Jay Baruchel,Gerard Butler,Fantasy,Family
Dead Poets Society,4.24,Peter Weir,137035,1989,Robin Williams,Ethan Hawke,Drama,
The Gold Rush,4.13,Charlie Chaplin,7872,1925,Charlie Chaplin,Georgia Hale,Drama,Adventure
Before Sunset,4.35,Richard Linklater,88786,2004,Ethan Hawke,Julie Delpy,Drama,Romance
"Paris, Texas",4.4,Wim Wenders,57063,1984,Harry Dean Stanton,Nastassja Kinski,Drama,
Before Sunrise,4.34,Richard Linklater,151890,1995,Ethan Hawke,Julie Delpy,Romance,Drama
Million Dollar Baby,3.96,Clint Eastwood,15617,2004,Clint Eastwood,Hilary Swank,Drama,
The General,4.2,Buster Keaton,12716,1926,Buster Keaton,Marion Mack,Romance,Comedy
The Young and the Damned,4.17,Luis Buñuel,5113,1950,Alfonso Mejía,Estela Inda,Drama,Crime
Wild Strawberries,4.33,Ingmar Bergman,14941,1957,Victor Sjöström,Bibi Andersson,Drama,
Gone Girl,4.07,David Fincher,216641,2014,Ben Affleck,Rosamund Pike,Drama,Thriller
Into the Wild,3.79,Sean Penn,24613,2007,Emile Hirsch,Marcia Gay Harden,Drama,Adventure
Sunrise: A Song of Two Humans,4.2,F. W. Murnau,9735,1927,George O’Brien,Janet Gaynor,Drama,Romance
Network,4.26,Sidney Lumet,21309,1976,Faye Dunaway,William Holden,Drama,
Harry Potter and the Deathly Hallows: Part 2,3.95,David Yates,60677,2011,Daniel Radcliffe,Emma Watson,Fantasy,Adventure
The Iron Giant,4.24,Brad Bird,31026,1999,Vin Diesel,Eli Marienthal,Science Fiction,Animation
Memories of Murder,4.41,Bong Joon-ho,64010,2003,Song Kang-ho,Kim Sang-kyung,Thriller,Drama
Cool Hand Luke,4.14,Stuart Rosenberg,10726,1967,Paul Newman,George Kennedy,Crime,Drama
Catch Me If You Can,4.03,Steven Spielberg,75026,2002,Leonardo DiCaprio,Tom Hanks,Drama,Crime
The Grapes of Wrath,4.13,John Ford,4452,1940,Henry Fonda,Jane Darwell,Drama,
Mr. Smith Goes to Washington,4.09,Frank Capra,6816,1939,James Stewart,Jean Arthur,Comedy,Drama
La Haine,4.51,Mathieu Kassovitz,69476,1995,Vincent Cassel,Hubert Koundé,Drama,
Fanny and Alexander,4.4,Ingmar Bergman,6791,1982,Pernilla Allwin,Bertil Guve,Mystery,Drama
Ordet,4.32,Carl Theodor Dreyer,3983,1955,Henrik Malberg,Birgitte Federspiel,Drama,
Hotel Rwanda,3.81,Terry George,4253,2004,Don Cheadle,Sophie Okonedo,Drama,History
Pather Panchali,4.3,Satyajit Ray,7607,1955,Subir Banerjee,Uma Das Gupta,Drama,
The Best Years of Our Lives,4.2,William Wyler,5306,1946,Fredric March,Myrna Loy,Drama,Romance
The Battle of Algiers,4.38,Gillo Pontecorvo,10122,1966,Brahim Hadjadj,Jean Martin,War,History
Andrei Rublev,4.42,Andrei Tarkovsky,9730,1966,Anatoliy Solonitsyn,Ivan Lapikov,Drama,History
Diabolique,4.16,Henri-Georges Clouzot,10161,1955,Véra Clouzot,Simone Signoret,Drama,Horror
The Cranes Are Flying,4.39,Mikhail Kalatozov,6579,1957,Tatyana Samoylova,Aleksey Batalov,Romance,War
Stand by Me,4.14,Rob Reiner,63745,1986,Wil Wheaton,River Phoenix,Drama,Crime
Donnie Darko,3.97,Richard Kelly,138729,2001,Jake Gyllenhaal,Jena Malone,Fantasy,Mystery
The Celebration,4.27,Thomas Vinterberg,12445,1998,Ulrich Thomsen,Henning Moritzen,Drama,
Annie Hall,4.04,Woody Allen,25121,1977,Woody Allen,Diane Keaton,Drama,Romance
"Three Billboards Outside Ebbing, Missouri",4.03,Martin McDonagh,48098,2017,Frances McDormand,Woody Harrelson,Crime,Drama
The Graduate,4.12,Mike Nichols,45485,1967,Anne Bancroft,Dustin Hoffman,Comedy,Drama
The Red Shoes,4.38,Emeric Pressburger,21052,1948,Moira Shearer,Adolf Wohlbrück,Drama,Romance
Capernaum,4.12,Nadine Labaki,8177,2018,Zain Al Rafeea,Yordanos Shifera,Drama,
8½,4.3,Federico Fellini,25066,1963,Marcello Mastroianni,Anouk Aimée,Drama,
All Quiet on the Western Front,4.13,Lewis Milestone,5838,1930,Louis Wolheim,Lew Ayres,Drama,War
A Man Escaped,4.34,Robert Bresson,8359,1956,François Leterrier,Charles Le Clainche,Drama,Thriller
The Man Who Shot Liberty Valance,4.23,John Ford,8629,1962,John Wayne,James Stewart,Western,
The Princess Bride,4.04,Rob Reiner,57447,1987,Cary Elwes,Robin Wright,Adventure,Romance
Rosemary's Baby,4.21,Roman Polanski,45118,1968,Mia Farrow,John Cassavetes,Horror,Drama
Dog Day Afternoon,4.31,Sidney Lumet,45653,1975,Al Pacino,John Cazale,Crime,Drama
Grand Illusion,4.19,Jean Renoir,4675,1937,Jean Gabin,Pierre Fresnay,War,Drama
Prisoners,4.28,Denis Villeneuve,132377,2013,Hugh Jackman,Jake Gyllenhaal,Thriller,Crime
Logan,4.1,James Mangold,54748,2017,Hugh Jackman,Dafne Keen,Drama,Science Fiction
Magnolia,4.22,Paul Thomas Anderson,47467,1999,Jeremy Blackman,Tom Cruise,Drama,
Life of Brian,3.97,Terry Jones,23472,1979,Graham Chapman,John Cleese,Comedy,
Akira,4.27,Katsuhiro Otomo,59548,1988,Mitsuo Iwata,Nozomu Sasaki,Animation,Action
Z,4.29,Costa-Gavras,5044,1969,Yves Montand,Irene Papas,Thriller,Crime
Beauty and the Beast,3.88,Gary Trousdale,23207,1991,Paige O'Hara,Robby Benson,Romance,Fantasy
Gran Torino,3.78,Clint Eastwood,15030,2008,Clint Eastwood,Christopher Carley,Drama,
3 Idiots,4.04,Rajkumar Hirani,9339,2009,Aamir Khan,R. Madhavan,Drama,Comedy
The Maltese Falcon,3.93,John Huston,14377,1941,Humphrey Bogart,Mary Astor,Mystery,Thriller
Twelve Monkeys,3.86,Terry Gilliam,21228,1995,Bruce Willis,Madeleine Stowe,Thriller,Mystery
Nights of Cabiria,4.36,Federico Fellini,8011,1957,Giulietta Masina,François Périer,Drama,
Butch Cassidy and the Sundance Kid,4.13,George Roy Hill,16201,1969,Paul Newman,Robert Redford,Western,
The Handmaiden,4.41,Park Chan-wook,85811,2016,Kim Min-hee,Kim Tae-ri,Thriller,Romance
Umberto D.,4.23,Vittorio De Sica,5036,1952,Carlo Battisti,Maria Pia Casilio,Drama,
Top Gun: Maverick,3.99,Joseph Kosinski,263764,2022,Tom Cruise,Miles Teller,Action,Drama
Slumdog Millionaire,3.88,Danny Boyle,21422,2008,Dev Patel,Freida Pinto,Drama,Romance
Solaris,4.25,Andrei Tarkovsky,20990,1972,Donatas Banionis,Natalya Bondarchuk,Mystery,Science Fiction
Rain Man,3.86,Barry Levinson,17925,1988,Dustin Hoffman,Tom Cruise,Drama,
The Night of the Hunter,4.27,Charles Laughton,23870,1955,Billy Chapin,Robert Mitchum,Drama,Crime
The Incredibles,4.07,Brad Bird,47680,2004,Craig T. Nelson,Holly Hunter,Animation,Family
